"title","address_city","address_community","address_county","address_state","address_street","address_street_number","date_collected","issuer_type","heated_water","heating","water_access","building_material","roof_material","fence","floors","rooms","bathroom_count","has_basement","has_balcony","year_built","location_latitude","location_longitude","price","price_currency","price_per_meter"
Dworek Magdalenka,Magdalenka,Lesznowola,piaseczyński,mazowieckie,,,2022-01-07 15:48:55.410 +0100,REAL_ESTATE_AGENCY,,GAS_HEATING,WATER_SUPPLY,,,,,9,,true,,2018,52.095794,20.91684,2200000.0,PLN,4782.608695652174
Dworek Małyń,Małyń,Zadzim,poddębicki,łódzkie,,,2022-01-07 15:27:40.984 +0100,REAL_ESTATE_AGENCY,,,,,,,,8,,,,1994,51.78611,19.02944,500000.0,PLN,2500.0
Dworek Poznań,Poznań,Poznań,Poznań,wielkopolskie,,,2022-01-07 15:27:27.073 +0100,REAL_ESTATE_AGENCY,,,WATER_SUPPLY,,,,,7,,true,,2003,52.40970903370307,16.92585474550782,2990000.0,PLN,4814.814814814815
"Poznański, Pobiedziska",Pobiedziska,Pobiedziska,poznański,wielkopolskie,,,2022-01-07 14:44:22.265 +0100,REAL_ESTATE_AGENCY,,,,BRICK,,,,6,2,,,1874,52.47747,17.2880008,1690000.0,PLN,4828.571428571428
"Dworek, ul. Góry",Kazimierz Dolny,Kazimierz Dolny,puławski,lubelskie,Góry,,2022-01-07 15:22:09.936 +0100,PRIVATE,,,WATER_SUPPLY,,,,,10,,,true,2007,51.323543,21.992616,2770000.0,PLN,4825.783972125436
Dworek Piaseczno,Piaseczno,Jedlińsk,radomski,mazowieckie,,,2022-01-07 15:39:51.110 +0100,REAL_ESTATE_AGENCY,,GAS_HEATING,,,,,,10,,,,2009,,,3990000.0,PLN,4987.5
"Słupecki, Siernicze Wielkie",Siernicze Wielkie,Ostrowite,słupecki,wielkopolskie,,,2022-01-07 16:47:23.826 +0100,REAL_ESTATE_AGENCY,,,,,,,,10,,,,,52.4077,18.0231,349000.0,PLN,768.7224669603524
Dworek Żochy,Żochy,Kosów Lacki,sokołowski,mazowieckie,,,2022-01-07 15:25:39.031 +0100,REAL_ESTATE_AGENCY,,,,,,,,5,,,,1900,52.5663141,22.0954303,3500000.0,PLN,9459.45945945946
Dom na sprzedaż,Mosina,Dobrzany,stargardzki,zachodniopomorskie,,,2022-01-07 20:17:10.045 +0100,REAL_ESTATE_AGENCY,,,,BRICK,,OTHER,,6,,,,1830,52.15811884,16.86695337,3890000.0,PLN,9676.616915422886
"Świebodziński (pow.), Świebodzin (gm.), Świebodzin",Świebodzin,Świebodzin,świebodziński,lubuskie,,,2022-01-07 16:02:38.028 +0100,REAL_ESTATE_AGENCY,MUNICIPAL,BOILER_ROOM,WATER_SUPPLY,BRICK,,METAL,,25,,true,,1886,52.2473,15.5336,1990000.0,PLN,796.0
"Wągrowiecki (Pow.), Mieścisko (Gm.), Popowo Kościelne",Popowo Kościelne,Mieścisko,wągrowiecki,wielkopolskie,,,2022-01-07 13:13:40.944 +0100,,MUNICIPAL,BOILER_ROOM,WATER_SUPPLY,BRICK,,MESH,,15,1,true,true,1880,52.712,17.2664,2100000.0,PLN,3230.769230769231
"Warszawa, Wawer",Warszawa,Warszawa,Warszawa,mazowieckie,,,2022-01-07 16:14:33.147 +0100,REAL_ESTATE_AGENCY,GAS_HEATING,GAS_HEATING,WATER_SUPPLY,BRICK,,,,3,1,true,,1923,52.17874773,21.18704796,1580000.0,PLN,19750.0
"Włocławski, Lubraniec, Annowo",Annowo,Lubraniec,włocławski,kujawsko-pomorskie,,,2022-01-07 15:47:10.656 +0100,REAL_ESTATE_AGENCY,OTHER_HEATING,TILED_STOVE,WATER_SUPPLY,BRICK,,MESH,,4,,,,1920,52.5664154,18.7674167,199000.0,PLN,1130.6818181818182
Dworek Gulczewo,Gulczewo,Września,wrzesiński,wielkopolskie,,,2022-01-07 15:27:29.010 +0100,REAL_ESTATE_AGENCY,,,,,,,,10,,,,1890,52.38682,17.58247,1500000.0,PLN,1376.1467889908256
Dworek Puszcza Mariańska,Puszcza Mariańska,Puszcza Mariańska,żyrardowski,mazowieckie,,,2022-01-07 15:35:58.899 +0100,REAL_ESTATE_AGENCY,,,WATER_SUPPLY,,,,,21,,true,,1918,51.97801,20.35046,1250000.0,PLN,1000.0
Dworek Osieka,Osieka,Bartoszyce,bartoszycki,warmińsko-mazurskie,,,2022-01-10 07:21:21.777 +0100,REAL_ESTATE_AGENCY,,,,,,,,20,,,,1861,54.2115955,20.78388,2300000.0,PLN,2300.0
Dworek Wasilków,Wasilków,Wasilków,białostocki,podlaskie,,,2022-01-13 04:23:12.313 +0100,REAL_ESTATE_AGENCY,,,,,,,,6,,true,,1940,53.19826934,23.19375229,1150000.0,PLN,3833.3333333333335
